,name,statff_cnt,cost_per_area,nums_of_franchisees,new_nums_of_franchisee,avr_sales,avr_sales_per_area,start_cost,category,year,debt_ratio,profit,fairness,growth,stability
189,어사출또,42,165.0,110,18,63239.0,1156.0,14893.0,기타 외식,7,234,3,3,3,4
190,쿠우쿠우,19,175.0,110,2,173036.0,911.0,82200.0,일식,11,2,3,3,1,2
191,송사부수제쌀고로케,0,275.0,103,44,31400.0,4869.0,6405.0,제과제빵,5,186,5,3,2,4
192,곤지암할매소머리국밥,13,143.0,109,34,13803.0,441.0,4930.0,한식,25,74,5,3,4,3
193,라화쿵부,33,165.0,103,13,20806.0,859.0,7925.0,중식,8,102,4,3,1,3
194,둘둘치킨,15,165.0,108,3,3905.0,234.0,6580.0,치킨,26,82,3,3,2,3
195,청춘감성쌀핫도그,12,235.0,108,4,3522.0,412.0,3400.0,기타 외식,7,27,2,3,1,2
196,그라찌에,13,220.0,52,2,5092.0,225.0,6770.0,기타 외식,20,127,2,3,1,3
197,웰덤치킨,39,165.0,107,38,10605.0,678.0,3455.0,패스트푸드,16,328,2,3,2,4
198,라무진,9,381.0,107,9,31846.0,1766.0,8370.0,기타 외식,9,12,4,3,3,2
199,오마뎅,22,385.0,105,23,12030.0,1331.0,7925.0,분식,6,73,5,3,4,3
200,커피온리,15,192.0,104,6,13982.0,1824.0,7207.0,커피,7,633,1,3,1,5
201,만두여행,31,165.0,105,114,5448.0,973.0,6217.0,분식,7,459,4,3,5,5
202,아비꼬,83,330.0,88,8,35910.0,1491.0,12290.0,기타 외식,13,701,2,3,2,5
203,커피니(COFFEENIE),19,250.0,87,1,13808.0,418.0,8800.0,커피,14,-131,1,3,2,1
204,선비꼬마김밥,23,187.0,101,39,20966.0,1950.0,5551.0,분식,5,68,5,3,5,3
205,라라코스트(raracost),20,231.0,98,6,65872.0,675.0,19010.0,기타 외식,5,112,4,3,3,3
206,토마토김밥,14,198.0,102,3,40089.0,2911.0,6129.0,분식,11,515,3,3,3,5
207,콩심,19,162.0,102,11,40521.0,1466.0,9155.0,기타 외식,8,209,3,3,1,4
208,다사랑,39,176.0,101,2,34878.0,727.0,14170.0,치킨,17,7,4,3,3,2
209,마리웨일237,188,220.0,87,5,10221.0,965.0,9245.0,제과제빵,15,2212,1,3,2,5
210,육쌈냉면,14,176.0,99,1,38647.0,1352.0,16728.0,한식,10,29,5,3,2,2
211,순수치킨,8,198.0,99,44,19298.0,1289.0,4270.0,기타 외식,8,-147,1,3,3,1
212,진이찬방,31,209.0,99,33,20094.0,1559.0,6290.0,한식,11,211,3,3,4,4
213,혜화동돈까스극장,8,165.0,98,21,7157.0,515.0,4169.0,기타 외식,3,69,5,3,1,3
214,전골의법칙,14,110.0,98,97,6832.0,322.0,850.0,한식,9,121,4,3,4,3
215,계동치킨,5,137.0,98,6,2768.0,158.0,3960.0,치킨,19,355,3,3,3,5
216,배부장찌개,12,165.0,97,14,28585.0,1268.0,6085.0,한식,5,28,4,3,2,2
217,수유리우동집,10,211.0,94,12,20678.0,1206.0,6600.0,분식,8,75,2,3,3,3
218,뉴욕버거,8,209.0,92,22,20087.0,899.0,10205.0,패스트푸드,14,1175,3,3,3,5
219,막창도둑,11,120.0,95,41,27950.0,745.0,6722.0,기타 외식,7,157,5,3,5,4
220,"오늘,와인한잔",27,165.0,91,23,42142.0,1385.0,13727.0,주점,6,92,5,3,3,3
221,배터지는생동까스,9,198.0,94,14,11868.0,960.0,4610.0,일식,14,100,4,3,4,3
225,미스터브리즈커피,18,192.0,92,6,6206.0,393.0,5115.0,기타 외식,12,-179,1,3,1,1
226,조선화로집,193,170.0,82,30,81858.0,741.0,12850.0,한식,23,-640,1,3,1,1
227,오가다,66,198.0,82,13,8308.0,388.0,14210.0,음료 (커피 외),13,270,2,3,2,4
228,두뽂스,27,143.0,92,83,4244.0,228.0,4210.0,한식,8,406,3,3,2,5
229,서가앤쿡,30,165.0,81,4,67763.0,732.0,20460.0,서양식,12,13,2,3,2,2
230,곱분이곱창,13,165.0,90,53,44349.0,2523.0,5874.0,한식,7,17,5,3,5,2
231,토마토도시락,12,181.0,89,8,27659.0,2233.0,6155.0,기타 외식,13,359,3,3,2,5
232,네오피자,9,44.0,90,12,24553.0,1332.0,3257.0,피자,6,339,4,3,3,4
233,맛찬들왕소금구이,28,268.0,89,7,89556.0,1223.0,18250.0,한식,10,40,4,3,3,2
234,장충동왕족발보쌈,143,133.0,89,7,9801.0,530.0,4970.0,한식,22,156,4,3,4,4
238,디에떼에스프레소,9,355.0,89,5,3767.0,134.0,11800.0,커피,12,406,2,3,4,5
239,닥엔돈스,12,132.0,89,37,18661.0,1001.0,3235.0,기타 외식,6,263,5,3,5,4
240,쌀통닭,8,180.0,87,11,16169.0,1042.0,6500.0,치킨,9,547,4,3,3,5
241,박군치킨,9,165.0,88,10,12019.0,865.0,7020.0,치킨,9,186,3,3,3,4
242,올떡,10,165.0,87,13,6900.0,616.0,3689.0,분식,7,3,2,3,1,2
243,불막열삼,23,176.0,88,21,19628.0,802.0,7415.0,한식,6,298,4,3,5,4
244,버무리떡볶이,17,159.0,87,9,16368.0,1626.0,5613.0,분식,12,156,3,3,3,4
245,더착한커피,8,198.0,87,0,12846.0,637.0,8180.0,커피,12,932,3,3,1,5
247,브롱스(BRONX),25,160.0,85,18,17171.0,583.0,9470.0,기타 외식,9,-159,1,3,2,1
248,인생닭강정,2,143.0,86,86,23908.0,2630.0,4159.0,치킨,3,3,2,3,0,2
249,카페게이트,56,268.0,83,20,16590.0,1420.0,6448.0,커피,14,83,3,3,2,3
250,군자대한곱창,27,165.0,85,60,71516.0,2181.0,10890.0,기타 외식,4,98,5,3,5,3
251,THE진국,54,154.0,83,15,35753.0,1268.0,10355.0,한식,12,142,4,3,3,4
252,미쳐버린파닭,16,96.0,84,10,9357.0,477.0,2810.0,치킨,8,113,4,3,3,3
253,땡큐맘치킨,25,143.0,84,4,14458.0,940.0,5881.0,치킨,8,506,3,3,4,5
257,비턴,4,143.0,83,4,11726.0,308.0,9055.0,주점,12,5,2,3,2,2
258,오븐에빠진닭,37,165.0,83,5,19040.0,594.0,10659.0,치킨,22,15,4,3,3,2
259,만복국수집,8,220.0,83,13,24675.0,1080.0,5930.0,주점,14,76,4,3,4,3
260,등뼈가,32,198.0,82,7,12884.0,258.0,8400.0,한식,5,125,5,3,3,3
261,이바돔감자탕,193,165.0,78,4,48402.0,446.0,24480.0,한식,23,-640,1,3,1,1
262,보고싶다,24,187.0,82,14,32233.0,752.0,12931.0,기타 외식,5,108,4,3,1,3
266,79대포,16,143.0,81,23,17781.0,806.0,6932.0,주점,7,5,5,3,4,2
267,비스트로피자,17,220.0,81,44,28871.0,2297.0,6207.0,패스트푸드,4,126,5,3,5,3
268,아마스빈코리아,27,220.0,79,18,19812.0,1801.0,6660.0,음료 (커피 외),8,163,2,3,2,4
269,카페루앤비,5,165.0,81,14,5636.0,356.0,5349.0,커피,9,414,3,3,3,5
270,스쿨푸드,251,165.0,65,13,74896.0,2759.0,17230.0,분식,16,414,2,3,3,5
271,스시노백쉐프(스시노BackChef),4,220.0,79,3,35270.0,1070.0,50880.0,일식,9,-405,1,3,0,1
272,하루엔소쿠,19,170.0,81,19,21757.0,1053.0,10712.0,일식,7,394,3,3,3,5
274,치킨의민족,14,154.0,81,60,8203.0,537.0,5090.0,치킨,5,-153,1,3,2,1
275,유가네한우곰탕,11,165.0,80,30,7509.0,237.0,17770.0,한식,6,93,4,3,2,3
276,소담촌,18,18.0,78,8,69189.0,678.0,5156.0,기타 외식,9,413,3,3,2,5
277,짚신매운갈비찜,18,137.0,80,12,40417.0,1765.0,7982.0,한식,12,186,2,3,4,4
278,1943,29,209.0,79,35,97424.0,1250.0,23400.0,기타 외식,5,11,5,3,5,2
279,생활커피,4,144.0,80,47,12748.0,1034.0,8234.0,커피,10,179,4,3,3,4
280,할머니가래떡볶이,27,143.0,79,81,6537.0,430.0,4210.0,분식,8,406,3,3,2,5
281,컬투치킨,13,180.0,79,17,14943.0,649.0,4357.0,치킨,13,-758,2,3,2,1
282,김복남맥주,9,146.0,78,46,16802.0,661.0,5095.0,주점,5,155,5,3,4,4
283,생생돈까스,14,165.0,79,14,22149.0,575.0,4095.0,분식,20,53,3,3,3,3
284,뚱보집,12,293.0,78,6,24681.0,1052.0,7252.0,기타 외식,5,65,2,3,4,3
285,마시그래이,13,275.0,76,10,11652.0,942.0,6270.0,커피,9,77,4,3,4,3
286,무지개맥주,9,176.0,78,46,31259.0,944.0,8965.0,주점,8,74,4,3,4,3
287,우쿠야,15,220.0,76,20,18891.0,788.0,9527.0,기타 외식,4,154,2,3,5,4
288,대동집,16,209.0,76,27,44438.0,1446.0,10230.0,한식,11,3,5,3,4,2
289,로띠번,20,220.0,76,7,10223.0,1004.0,9492.0,제과제빵,11,195,3,3,2,4
290,굴세상,2,10.0,75,2,24977.0,672.0,4763.0,기타 외식,9,21,3,3,3,2
291,북창동순두부,74,154.0,61,1,39301.0,1022.0,11720.0,한식,17,117,3,3,3,3
292,퀴즈노스서브,20,242.0,68,11,24222.0,1302.0,15304.0,패스트푸드,18,130,3,3,2,3
293,스트릿츄러스,54,492.0,71,20,14858.0,1574.0,8096.0,제과제빵,9,545,2,3,2,5
294,맛나감자탕,9,165.0,75,5,46936.0,564.0,15990.0,한식,15,181,3,3,3,4
295,고피자(GOPIZZA),106,226.0,66,36,22194.0,1328.0,9580.0,피자,6,128,1,3,4,3
296,오봉도시락,65,242.0,73,5,11644.0,961.0,4950.0,한식,17,1292,2,3,3,5
297,종로맥가,10,165.0,72,2,14225.0,475.0,4809.0,기타 외식,8,39,3,3,2,2
298,일차돌,21,165.0,74,19,28476.0,885.0,7150.0,한식,14,25,4,3,2,2
299,경아두마리치킨,13,120.0,74,29,14951.0,997.0,2810.0,치킨,21,59,3,3,3,3
300,통큰갈비,12,143.0,74,21,32233.0,678.0,10357.0,기타 외식,7,67,5,3,4,3
301,청담이상,13,258.0,71,7,58087.0,844.0,21945.0,주점,11,41,2,3,1,2
302,곱창이야기,16,165.0,73,7,29177.0,1491.0,9910.0,한식,10,152,4,3,2,4
303,무쏘,4,166.0,73,29,30838.0,620.0,8940.0,한식,6,145,3,3,5,4
304,한스델리,10,150.0,72,1,20045.0,520.0,9300.0,기타 외식,20,185,3,3,2,4
305,에그셀런트,25,550.0,71,46,18554.0,1910.0,11795.0,패스트푸드,8,39,5,3,5,2
